,arm_name ,metric_name ,mean ,sem ,trial_index ,arm_name   ,metric_name   ,mean   ,sem   ,trial_index   ,arm_name,metric_name,mean,sem,trial_index,parameters
45,41_0,objective,2.852,0.0,41,41_0,CD,0.464,0.0,41,41_0,XCP,0.5856585365853659,0.0,41,"{'XLE1': 1.5606544967278781, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.22530939757617385, 'SSPAN2_2': 0.3, 'fidelity': 1}"
46,42_0,objective,2.899,0.0,42,42_0,CD,0.479,0.0,42,42_0,XCP,0.5842926829268292,0.0,42,"{'XLE1': 1.641549393600464, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.2447514582657574, 'SSPAN1_2': 0.24951871347586083, 'SSPAN2_2': 0.3, 'fidelity': 1}"
47,43_0,objective,2.89,0.0,43,43_0,CD,0.47,0.0,43,43_0,XCP,0.5978048780487806,0.0,43,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1460123232291935, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.20431048811601316, 'SSPAN2_2': 0.3, 'fidelity': 1}"
48,44_0,objective,2.726,0.0,44,44_0,CD,0.479,0.0,44,44_0,XCP,0.5215121951219512,0.0,44,"{'XLE1': 1.4751172849483984, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.20968510377708993, 'CHORD2_2': 0.0, 'SSPAN1_2': 0.2808105208283366, 'SSPAN2_2': 0.3, 'fidelity': 1}"
49,45_0,objective,2.806,0.0,45,45_0,CD,0.455,0.0,45,45_0,XCP,0.5877560975609756,0.0,45,"{'XLE1': 1.4973550196770642, 'XLE2': 3.2, 'CHORD1_1': 0.39686583151585014, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2106341391768422, 'SSPAN2_2': 0.3, 'fidelity': 1}"
50,46_0,objective,2.986,0.0,46,46_0,CD,0.48,0.0,46,46_0,XCP,0.6292682926829268,0.0,46,"{'XLE1': 1.4266218441176692, 'XLE2': 3.000283824442958, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0036501721049074284, 'CHORD2_1': 0.21712069945232493, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.18443400960091322, 'SSPAN2_2': 0.3, 'fidelity': 1}"
51,47_0,objective,2.69,0.0,47,47_0,CD,0.435,0.0,47,47_0,XCP,0.5785853658536586,0.0,47,"{'XLE1': 1.450239459045011, 'XLE2': 3.0310947502251793, 'CHORD1_1': 0.3985744748194123, 'CHORD1_2': 0.005769587434080279, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.21550427073827072, 'SSPAN2_2': 0.3, 'fidelity': 0}"
52,48_0,objective,2.901,0.0,48,48_0,CD,0.477,0.0,48,48_0,XCP,0.5767317073170732,0.0,48,"{'XLE1': 1.6576900844285078, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.168133393479303, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.24408923409346037, 'SSPAN2_2': 0.26818527803085995, 'fidelity': 1}"
53,49_0,objective,2.539,0.0,49,49_0,CD,0.399,0.0,49,49_0,XCP,0.602048780487805,0.0,49,"{'XLE1': 1.25, 'XLE2': 3.0, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.21058530667786482, 'CHORD2_2': 0.08598563332474737, 'SSPAN1_2': 0.17104744132219177, 'SSPAN2_2': 0.3, 'fidelity': 0}"
54,50_0,objective,2.849,0.0,50,50_0,CD,0.459,0.0,50,50_0,XCP,0.5639024390243903,0.0,50,"{'XLE1': 1.25, 'XLE2': 3.2, 'CHORD1_1': 0.4, 'CHORD1_2': 0.0, 'CHORD2_1': 0.1, 'CHORD2_2': 0.25, 'SSPAN1_2': 0.2162580310493777, 'SSPAN2_2': 0.3, 'fidelity': 1}"
